Rank;Company;Industry;Revenue (USD millions);Profit (USD millions);Employees;Headquarters
1;Walmart;Retail;$680,985;$19,436;2100000;United States
2;Amazon;Retail  information technology;$637,959;$59,248;1556000;United States
3;State Grid Corporation of China;Electricity;$545,948;$9,204;1361423;China
4;Saudi Aramco;Oil and gas;$480,446;$106,246;73311;Saudi Arabia
5;China Petrochemical Corporation;Oil and gas;$429,700;$9,393;513434;China
6;China National Petroleum Corporation;Oil and gas;$476,000;$25,250;1026301;China
7;UnitedHealth Group;Healthcare;$400,278;$14,405;400000;United States
8;Apple;Information technology;$391,035;$93,736;164000;United States
9;Berkshire Hathaway;Financials;$371,433;$88,995;392400;United States
10;CVS Health;Healthcare;$357,776;$8,344;259500;United States
11;Alphabet;Information technology;$350,018;$100,118;183323;United States
12;Volkswagen Group;Automotive;$348,408;$17,945;684025;Germany
13;ExxonMobil;Oil and gas;$344,582;$36,010;61500;United States
14;Vitol;Commodities;$331,000;$13,000;1560;Switzerland
15;Shell;Oil and gas;$323,183;$19,359;103000;United Kingdom
16;China State Construction Engineering;Construction;$320,431;$4,272;382894;China
17;Toyota;Automotive;$312,018;$34,214;380793;Japan
18;McKesson;Healthcare;$308,951;$3,002;48000;United States
19;Cencora;Healthcare;$262,173;$1,745;44000;United States
20;Microsoft;Information technology;$245,122;$88,136;228000;United States
21;Trafigura;Commodities;$244,280;$7,393;12479;Singapore
22;Costco;Retail;$242,290;$6,292;316000;United States
23;JPMorgan Chase;Financials;$239,425;$49,552;309926;United States
24;Industrial and Commercial Bank of China;Financials;$222,484;$51,417;419252;China
25;TotalEnergies;Oil and gas;$218,945;$21,384;102579;France
26;Glencore;Commodities;$217,829;$4,280;83426;Switzerland
27;BP;Oil and gas;$213,032;$15,239;79400;United Kingdom
28;Cardinal Health;Healthcare;$205,012;$261;47520;United States
29;Stellantis;Automotive;$204,908;$20,103;258275;Netherlands
30;Chevron;Oil and gas;$200,949;$21,369;45600;United States
31;China Construction Bank;Financials;$199,826;$46,990;376871;China
32;Samsung Electronics;Electronics;$198,257;$11,082;267860;South Korea
33;Foxconn;Electronics;$197,876;$4,563;621393;Taiwan
34;Cigna;Healthcare;$195,265;$5,164;71413;United States
35;Agricultural Bank of China;Financials;$192,398;$38,049;451003;China
36;Schwarz Gruppe;Retail;$180,576;$16,988;595000;Germany
37;China Railway Engineering Corporation;Construction;$178,563;$2,152;314149;China
38;Cargill;Conglomerate;$177,000;$17,641;160000;United States
39;Ford Motor Company;Automotive;$176,191;$4,347;177000;United States
40;Bank of China;Financials;$172,328;$32,758;306931;China
41;Bank of America;Financials;$171,912;$26,515;212985;United States
42;General Motors;Automotive;$171,842;$10,127;163000;United States
43;Elevance Health;Healthcare;$171,340;$5,987;104900;United States
44;BMW Group;Automotive;$168,103;$12,205;154950;Germany
45;Mercedes-Benz Group;Automotive;$165,638;$15,417;166056;Germany
46;China Railway Construction Corporation;Construction;$160,847;$1,701;336433;China
47;Baowu;Steel;$157,216;$2,494;258697;China
48;Citigroup;Financials;$156,820;$9,228;237925;United States
49;Enel;Energy;$147,100;$3,400;61060;Italy
